id,title,view_count,comment_count,duration,like_count,release_date,indie_major,hitsong_after,cut_count,num_persons,emo_happy,emo_sad,emo_angry,emo_surprise,emo_disgust,emo_fear,emo_neutral
qrtKLNTB71c,Official髭男dism - SWEET TWEET［Official Video］,31519245,5000,326,140528,2015-12-30,0,0,107,20,0,0,0,0,0.0,0.0,0.0
n0e0y01w92A,Official髭男dism - 恋の前ならえ［Official Video］,4103599,2100,208,37967,2015-12-30,0,0,19,2,0,0,0,0,0.0,0.0,0.0
i68HdrqOPcE,Official髭男dism - 愛なんだが・・・［Official Video］,7541076,1200,279,43488,2015-12-30,0,0,101,17,0,0,0,0,0.0,0.0,0.0
0M-6ImZ9FSk,Official髭男dism - 始発が導く幸福論［Official Video］,3405745,731,304,20900,2015-12-30,0,0,25,6,0,0,0,0,0.0,0.0,0.0
Vho5jBUfR28,Official髭男dism - コーヒーとシロップ［Official Video］,22176191,3700,245,114119,2016-04-28,0,0,127,18,0,0,0,0,0.0,0.0,0.0
PB8dUVLPnuo,Official髭男dism - What's Going On?［Official Video］,5660270,2000,236,43363,2016-10-05,0,0,95,24,0,0,0,0,0.0,0.0,0.0
IzyrINr2Xj4,Official髭男dism - 犬かキャットかで死ぬまで喧嘩しよう！［Official Video］,7114684,1900,233,55202,2017-03-17,0,0,121,18,0,0,0,0,0.0,0.0,0.0
3IDvi4buNdk,Official髭男dism - Tell Me Baby［Official Video］,10290419,2200,282,62532,2017-08-25,0,0,85,2,0,0,0,0,0.0,0.0,0.0
1fO0mY5vLA8,Official髭男dism - ブラザーズ［Official Video］,4506096,1900,236,39119,2017-08-25,0,0,119,19,0,0,0,0,0.0,0.0,0.0
0nzgi6dz8VY,Official髭男dism - LADY［Official Video］,11430024,2200,284,58210,2017-09-29,0,0,38,4,0,0,0,0,0.0,0.0,0.0
EHw005ZqCXk,Official髭男dism - ノーダウト［Official Video］,157891343,22000,199,684910,2018-04-30,1,0,112,7,0,0,0,0,0.0,0.0,0.0
22mOCjkwQjM,Official髭男dism - Stand By You［Official Video］,49372608,8300,258,237206,2018-09-30,1,0,121,8,0,0,0,0,0.0,0.0,0.0
sem3UU-EQJs,Official髭男dism - FIRE GROUND［Official Video］,10512255,4500,228,98034,2018-10-17,1,0,131,3,0,0,0,0,0.0,0.0,0.0
TQ8WlA2GXbk,Official髭男dism - Pretender［Official Video］,549057544,105000,336,2096567,2019-04-16,1,1,144,14,0,0,0,0,0.0,0.0,0.0
-kgOFJG881I,Official髭男dism - 宿命［Official Video］,163365860,33000,283,747738,2019-07-08,1,1,105,7,0,0,0,0,0.0,0.0,0.0
DuMqFknYHBs,Official髭男dism - イエスタデイ［Official Video］,193014418,34000,300,762361,2019-09-20,1,1,,,,,,,,,
cMLTX2FClxw,Official髭男dism - ビンテージ［Official Video］,23881049,9500,277,178034,2019-10-15,1,1,,,,,,,,,
bt8wNQJaKAk,Official髭男dism - I LOVE...［Official Video］,211894485,40000,289,888085,2020-01-15,1,1,,,,,,,,,
pkoxFpmiCWo,Official髭男dism - パラボラ［Official Video］,38946503,9800,301,175273,2020-04-27,1,1,,,,,,,,,
kff_DXor7jc,Official髭男dism - Laughter［Official Video］,52499990,13000,380,259553,2020-07-17,1,1,,,,,,,,,
p1qM75a9FeE,Official髭男dism - HELLO［Official Video］,24997104,8100,294,149253,2020-08-05,1,1,,,,,,,,,
6lnS-8FVod4,Official髭男dism - Universe［Official Video］,32549005,12000,334,213218,2021-01-09,1,1,,,,,,,,,
O1bhZgkC4Gw,Official髭男dism - Cry Baby［Official Video］,160809297,42000,240,1320860,2021-05-06,1,1,,,,,,,,,
PZX2npwj6jY,Official髭男dism - アポトーシス［Official Video］,24949097,8100,387,167727,2021-08-18,1,1,,,,,,,,,
l_HTf8JRTts,Official髭男dism - Bedroom Talk［Official Lyric Video］,5296503,2400,200,75999,2021-11-29,1,1,,,,,,,,,
4BVd6TK8_EQ,Official髭男dism - ペンディング・マシーン［Official Video］,4810254,2300,248,54211,2021-12-20,1,1,,,,,,,,,
H_2jH6XVYU0,Official髭男dism - Anarchy［Official Video］,17604984,7000,267,135955,2022-01-07,1,1,,,,,,,,,
CbH2F0kXgTY,Official髭男dism - Mixed Nuts ［Official Video］,132350558,17000,229,701558,2022-04-14,1,1,,,,,,,,,
I8fxhn_l08g,Official髭男dism - Choral A [Official Video],3332853,1700,251,41061,2022-09-10,1,1,,,,,,,,,
hN5MBlGv2Ac,Official髭男dism - Subtitle [Official Video],157929304,15000,322,604243,2022-10-27,1,1,,,,,,,,,
_ciQX22n9NE,Official髭男dism - ホワイトノイズ [Official Video],35343855,11000,254,233114,2023-01-10,1,1,,,,,,,,,
oLrp9uTa9gw,Official髭男dism - TATTOO [Official Video],35063016,8100,296,174053,2023-04-20,1,1,,,,,,,,,
qo55wGLXcOQ,Official髭男dism - Chessboard [Official Video],12746094,4700,346,89393,2023-08-09,1,1,,,,,,,,,
LbtQM793jn8,Official髭男dism - 日常 [Official Video],11755877,4100,372,78869,2023-09-19,1,1,,,,,,,,,
-H_k7iwrWVY,Official髭男dism - SOULSOUP [Official Video],13749076,7400,314,117243,2023-12-12,1,1,,,,,,,,,
